CID,Race,State,HHI,Students,coll_mean,kfr_top01_mean,kfr_top20_mean,lpov_nbh_mean,par_rank_mean,proginc_mean
1021,White,Alabama,0.7287163167333334,4910.285714285715,0.29738626,0.002924409,0.16541724,0.18705469,0.47391561,0.025231151
1023,Asian,Alabama,0.6121935902333334,0.2857142857142857,,,,,,
1023,Black,Alabama,0.6121935902333334,1724.5,0.17899109,-0.000179674,0.053116001,0.19470915,0.2958951,0.001074831
1023,Hispanic,Alabama,0.6121935902333334,1.7857142857142858,,,,,,
1023,Native American,Alabama,0.6121935902333334,2.0833333333333335,,,,,,
1023,White,Alabama,0.6121935902333334,882.2857142857143,0.29785213,0.004977631,0.2717143,0.17035469,0.5443911,0.02655891
1025,Asian,Alabama,0.5648368146,5.071428571428571,,,,,,
1025,Black,Alabama,0.5648368146,3109.6428571428573,0.1837561,3.97239e-05,0.051296324,0.15651743,0.28668445,0.018018005
1025,Hispanic,Alabama,0.5648368146,3.2142857142857144,,,,,,
1025,Native American,Alabama,0.5648368146,4.333333333333333,,,,,,
1025,White,Alabama,0.5648368146,2207.5,0.39898208,0.00860824,0.26229596,0.23207602,0.57743084,0.001796035
1027,Asian,Alabama,0.6568955839666667,2.0,,,,,,
1027,Black,Alabama,0.6568955839666667,569.2142857142857,0.096948154,0.00038776,0.01899736,0.10365492,0.28643793,
1027,Hispanic,Alabama,0.6568955839666667,10.0,,,,,,
1027,Native American,Alabama,0.6568955839666667,1.75,,,,,,
1027,White,Alabama,0.6568955839666667,1841.7857142857142,0.21609111,0.002359204,0.13208877,0.15055606,0.45325261,-0.001917437
1029,Asian,Alabama,0.8867556577666666,0.14285714285714285,,,,,,
1029,Black,Alabama,0.8867556577666666,144.14285714285714,,6.22844e-05,0.056299374,0.15451914,0.24513857,
1029,Hispanic,Alabama,0.8867556577666666,7.714285714285714,,,,,,
1029,Native American,Alabama,0.8867556577666666,2.6666666666666665,,,,,,
1029,White,Alabama,0.8867556577666666,2130.785714285714,0.31722009,0.00132719,0.16071849,0.1214283,0.44981727,0.000626472
1031,Asian,Alabama,0.6110775570333333,85.14285714285714,,0.012431692,0.29387844,0.43110916,0.55794215,
1031,Black,Alabama,0.6110775570333333,1824.857142857143,0.2807543,-2.97118e-05,0.062438473,0.21405557,0.31250337,0.012146145
1031,Hispanic,Alabama,0.6110775570333333,126.64285714285714,0.35025415,0.000306882,0.13761955,0.4008396,0.51119387,
1031,Native American,Alabama,0.6110775570333333,29.166666666666668,,0.000942609,0.22126402,0.29027474,0.49282387,
1031,White,Alabama,0.6110775570333333,5665.285714285715,0.37292191,0.007510904,0.20727709,0.37104073,0.55022115,0.028214216
1033,Asian,Alabama,0.6739711349,18.071428571428573,,-0.002796693,0.40477782,0.41938666,0.44170696,
1033,Black,Alabama,0.6739711349,1916.142857142857,0.24289173,0.003315824,0.067520253,0.25318754,0.38294867,0.004986365
1033,Hispanic,Alabama,0.6739711349,34.07142857142857,,-0.000485836,0.12337943,0.32757622,0.36463186,
1033,Native American,Alabama,0.6739711349,8.5,,0.008572231,0.1858831,0.16804272,0.43364286,
1033,White,Alabama,0.6739711349,6027.5,0.34659535,0.004109678,0.19213857,0.30670556,0.52505064,0.002860191
1035,Asian,Alabama,0.5938877789666667,0.6428571428571429,,,,,,
1035,Black,Alabama,0.5938877789666667,1555.0714285714287,0.12379942,0.000175469,0.03835924,0.18177781,0.25497553,0.004509606
1035,Hispanic,Alabama,0.5938877789666667,4.214285714285714,,,,,,
1035,Native American,Alabama,0.5938877789666667,1.8333333333333333,,,,,,
1035,White,Alabama,0.5938877789666667,662.0,0.3047387,-0.000367276,0.1598736,0.20042327,0.45976946,-0.001966078
1037,Asian,Alabama,0.6808135075333334,1.3571428571428572,,,,,,
1037,Black,Alabama,0.6808135075333334,802.8571428571429,0.25441915,0.013101442,0.038965087,0.13780442,0.26585707,
1037,Hispanic,Alabama,0.6808135075333334,2.0,,,,,,
1037,Native American,Alabama,0.6808135075333334,0.5833333333333334,,,,,,
1037,White,Alabama,0.6808135075333334,915.5714285714286,0.25642344,6.21519e-05,0.12466118,0.21419287,0.43929708,0.061815824
1039,Asian,Alabama,0.7104580618,7.428571428571429,,,,,,
1039,Black,Alabama,0.7104580618,1148.357142857143,0.071032636,0.004458137,0.031952262,0.13171631,0.235854,0.20316279
1039,Hispanic,Alabama,0.7104580618,8.5,,0.001014909,0.27250063,0.12503022,0.35705134,
1039,Native American,Alabama,0.7104580618,6.25,,,,,,
1039,White,Alabama,0.7104580618,5195.0,0.24455063,0.006348314,0.21549521,0.23249698,0.43553126,0.014131436
1041,Asian,Alabama,0.5621442822,1.4285714285714286,,,,,,
1041,Black,Alabama,0.5621442822,825.2142857142857,0.16189478,-0.000120003,0.039406952,0.14217719,0.19834515,
1041,Hispanic,Alabama,0.5621442822,4.285714285714286,,,,,,
1041,Native American,Alabama,0.5621442822,1.4166666666666667,,,,,,
1041,White,Alabama,0.5621442822,1452.857142857143,0.24128348,0.001005002,0.16069338,0.26441818,0.45122871,0.024987463
1043,Asian,Alabama,0.9659481055000001,22.5,,,,,,
1043,Black,Alabama,0.9659481055000001,122.78571428571429,,-0.00049777,0.028370401,0.28201482,0.40542307,
1043,Hispanic,Alabama,0.9659481055000001,70.07142857142857,,0.000207302,0.04504779,0.19785796,0.32797781,
1043,Native American,Alabama,0.9659481055000001,4.833333333333333,,0.004319418,0.11528973,0.16041857,0.43523836,
1043,White,Alabama,0.9659481055000001,10855.42857142857,0.24853636,0.004819472,0.15552147,0.19890808,0.47084409,0.021483814
